domain,subject,course_title,university,faculty,rating,review_count,registered_students,tags,cost,start_date,session,language,certificate,duration
Computer Science,Information Technology,Optimizing Microsoft Windows Server Storage,Microsoft,Cynthia Staley and Marcin Policht,0,"
        ",55,,Free Online Course (Audit),2015-12-15,Self Paced,English,,6 weeks long
Computer Science,Information Technology,SAP NetWeaver Upgrades in a Nutshell,openSAP,Tomas Black and Arvin Chiu,1,"
        ",1083,"netweaver,sum tools,system upgrades",Free Online Course,2015-12-01,Self Paced,English,,4 weeks long
Computer Science,Information Technology,Implementing Microsoft Windows Server Disks and Volumes,Microsoft,Cynthia Staley and Marcin Policht,0,"
        ",59,,Free Online Course (Audit),2015-11-24,Self Paced,English,,6 weeks long
Social Sciences,Economics,Circular Economy MOOC,Euneos,Martin de Wolf,0,"
        ",34,circular economy,Free Online Course,2016-06-06,Self Paced,English,,4 weeks long
Social Sciences,Economics,Fundamentals of Market Structure,New York Institute of Finance,Chris White,0,"
        ",72,new york institute of finance,Free Online Course (Audit),2016-05-16,Self Paced,English,,1 weeks long
Social Sciences,Sociology,Global Sociology,Wellesley College,Smitha Radhakrishnan,1,"
        ",530,wellesleyx,Free Online Course (Audit),2016-05-10,Self Paced,English,,4 weeks long
Social Sciences,Sociology,Global Social Change,Wellesley College,Smitha Radhakrishnan,0,"
        ",159,wellesleyx,Free Online Course (Audit),2016-05-10,Self Paced,English,,4 weeks long
Social Sciences,Anthropology,The History of Medieval Medicine Through Jewish Manuscripts,University of Pennsylvania,Y. Tzvi Langermann,2,"
        ",2322,pennx,Free Online Course (Audit),2016-06-01,Self Paced,English,"
              $29 Certificate Available
            ",4 weeks long
Social Sciences,Sociology,Global Inequality,Wellesley College,Smitha Radhakrishnan,0,"
        ",190,wellesleyx,Free Online Course (Audit),2016-05-10,Self Paced,English,,4 weeks long
Social Sciences,Urban Planning,Big Data for Smart Cities,IEEE,Sabeur Aridhi and Yannis Velegrakis,0,"
        ",78,ieeex,Free Online Course (Audit),2016-05-17,Self Paced,English,,9 weeks long
Social Sciences,Urban Planning,Future Cities,ETH Zurich,Dirk Hebel and Gerhard Schmitt,2,"
        ",287,ethx,Free Online Course (Audit),2016-04-01,Self Paced,English,"
              $50 Certificate Available
            ",10 weeks long
Education & Teaching,STEM,Teaching Practical Science: Physics,National STEM Learning Centre,Matt Cornock,0,"
        ",37,"physics,stem",Free Online Course (Audit),2019-04-22,Upcoming,English,"
              Paid Certificate Available
            ",3 weeks long
Education & Teaching,Education & Teaching,Educating Girls: Teaching Approaches to Helping Girls Thrive,Girls' Day School Trust,Isabel Drury,0,"
        ",71,,Free Online Course (Audit),2019-04-29,Upcoming,English,"
              Paid Certificate Available
            ",4 weeks long
Education & Teaching,Online Education,Get Started with Online Learning,The Open University,Laura Hills,3,"
        ",235,"europe,online learning,uk",Free Online Course (Audit),2019-04-29,Upcoming,English,"
              Paid Certificate Available
            ",2 weeks long
Social Sciences,Sustainability,Technology Innovation for Sustainable Development,École Polytechnique Fédérale de Lausanne,Klaus Schönenberger PhD and Solomzi Makohliso PhD,0,"
        ",33,epflx,Free Online Course (Audit),2017-05-01,Self Paced,English,"
              $49 Certificate Available
            ",6 weeks long
Social Sciences,Political Science,American Government,Harvard University,Thomas E. Patterson,4,"
        ",3210,,Free Online Course (Audit),2017-04-24,Self Paced,English,,16 weeks long
Social Sciences,Social Sciences,"Fake News, Facts, and Alternative Facts",University of Michigan,"Brian Weeks, Josh Pasek and Will Potter",1,"
        ",132,michiganx,Free Online Course (Audit),2017-04-21,Self Paced,English,,1 weeks long
Social Sciences,Economics,Pensiones en América Latina y el Caribe,Inter-American Development Bank,"Mariano Bosch, Ángel Melguizo and Carmen Pagés-Serra",0,"
        ",15,idbx,Free Online Course (Audit),2017-03-28,Self Paced,Spanish,,6 weeks long
Social Sciences,Political Science,Citizen Engagement: A Game Changer for Development,The World Bank,"Helene Grandvoinnet, Jeff Thindwa, Tiago Carneiro Peixoto and Kate Henvey DeMoss",0,"
        ",133,wbgx,Free Online Course (Audit),2017-03-15,Self Paced,English,,5 weeks long
Social Sciences,Sociology,The Story of Fake News,Davidson College,Dr. Amanda R. Martinez and Dr. Mark Sample,0,"
        ",81,davidsonx,Free Online Course (Audit),2017-03-14,Self Paced,English,,2 weeks long
Social Sciences,Law,国际刑法学 | International Criminal Law,Peking University,Wang Shizhou,0,"
        ",52,pekingx,Free Online Course (Audit),2017-03-13,Self Paced,Chinese,,14 weeks long
Social Sciences,Social Sciences,Solving Public Policy Problems: UC Berkeley’s Eightfold Path,"University of California, Berkeley","Eugene Bardach, Henry E. Brady, Jennifer M. Granholm, Daniel M. Kammen, David L. Kirp, Steven Raphael, Robert B. Reich and Larry A. Rosenthal JD, MPP, PhD",1,"
        ",129,uc berkeleyx,Free Online Course (Audit),2017-03-14,Self Paced,English,"
              $49 Certificate Available
            ",6 weeks long
Social Sciences,Human Rights,Права трудящихся в условиях глобальной экономики,Friedrich-Ebert-Stiftung,"Elena Gerasimova, Pavlo Kutuev and Anna Andreeva",0,"
        ",2,"workers rights,international labor standards",Free Online Course,2017-03-01,Self Paced,Russian,,6 weeks long
Social Sciences,Anthropology,文物精品与文化中国：天文与医药 | Relics of Chinese History - Part 2: Astronomy and Medicine,Tsinghua University,Peng Lin,1,"
        ",265,tsinghuax,Free Online Course (Audit),2019-02-20,In progress,English,"
              $49 Certificate Available
            ",5 weeks long
Education & Teaching,STEM,Enseigner et former avec le numérique en mathématiques,Université Paris-Saclay,Pascal Bellanca-Penel and Gilles Aldon,0,"
        ",3,"teaching,mathematics,europe,digital mathematics,france",Free Online Course,2019-01-08,In progress,French,,4 weeks long
Education & Teaching,Higher Education,Introduction aux STAPS,Universite Perpignan Via Domitia,Johann Rage and Henri Méric,0,"
        ",11,"science,sports science,higher education",Free Online Course,2018-12-10,In progress,French,"
              Certificate Available
            ",5 weeks long
Computer Science,Information Technology,Manage Office 365 Identities,Microsoft,"Dominik Hoefling ,  Siegfried Jagott  and  Martin Coetzer",0,"
        ",21,,Free Online Course (Audit),2018-01-01,Finished,English,,4 weeks long
Social Sciences,Sustainability,Sustainability in Everyday Life,Chalmers University of Technology,"Maria Lindqvist, Matty Janssen and Anna Nyström Claesson",1,"
        ",172,chalmersx,Free Online Course (Audit),2018-02-01,Self Paced,English,,6 weeks long
Social Sciences,Political Science,The Threat of Nuclear Terrorism,Stanford University,"William J. Perry, Graham Allison and Rachel Bronson",1,"
        ",658,"terrorism,nuclear weapons",Free Online Course,2018-01-29,Self Paced,English,,5 weeks long
Social Sciences,Sustainability,Sustainability Science – A Key Concept for Future Design,The University of Tokyo,"Takashi Mino, Kazuhiko Takeuchi, Makoto Yokohari, Masahide Horita, Yuto Kitamura, Motoharu Onuki, Shogo Kudo, Akito Murayama, Toru Terada and Toshinori Tanaka",0,"
        ",74,utokyox,Free Online Course (Audit),2018-01-29,Self Paced,English,"
              $49 Certificate Available
            ",6 weeks long
Social Sciences,Political Science,EU-Mittel für Ihre Region oder Stadt erfolgreich nutzen,European Union Committee of the Regions,Martin Gosset and Wolfgang Petzold,0,"
        ",,"european union,public policy",Free Online Course,2018-01-15,Self Paced,German,,6 weeks long
Social Sciences,Political Science,Global History of Capitalism,Princeton University,"Teal Arcadi, Caitlin Harvey, Rob Konkel, Felice Physioc, Miles Macallister and Niharika Yadav",2,"
        ",1053,princetonx,Free Online Course (Audit),2018-01-15,Self Paced,English,,6 weeks long
Social Sciences,Political Science,Valorisez les ressources de l'UE dans votre région ou ville,European Union Committee of the Regions,Martin Gosset and Wolfgang Petzold,0,"
        ",,"european union,public policy",Free Online Course,2018-01-15,Self Paced,French,,6 weeks long
Social Sciences,Law,Intellectual Property Law and Policy: Part 1,University of Pennsylvania,R. Polk Wagner,1,"
        ",3437,pennx,Free Online Course (Audit),2018-01-09,Self Paced,English,"
              $49 Certificate Available
            ",6 weeks long
Social Sciences,Political Science,Make the most of EU resources for your region or city,European Union Committee of the Regions,"Martin Gosset, Wolfgang Petzold and Miia Itänen",0,"
        ",19,"european union,public policy",Free Online Course,2018-01-15,Self Paced,English,,6 weeks long
Social Sciences,Law,Intellectual Property Law and Policy: Part 2,University of Pennsylvania,R. Polk Wagner,1,"
        ",832,pennx,Free Online Course (Audit),2018-01-09,Self Paced,English,"
              $49 Certificate Available
            ",7 weeks long
Social Sciences,Economics,Economic Democracy: The Cooperative Alternative,University of Edinburgh,"Donald A. R. George, Rick Woodward, Juliette Summers, Jelte Harnmeijer and David Erdal",0,"
        ",62,edinburghx,Free Online Course (Audit),2019-03-07,In progress,English,"
              $49 Certificate Available
            ",6 weeks long
Social Sciences,Economics,Principles of Economics with Calculus,California Institute of Technology,Liam Clegg and Antonio Rangel,4,"
        ",272,caltechx,Free Online Course (Audit),2019-01-08,In progress,English,"
              $49 Certificate Available
            ",10 weeks long
Social Sciences,Political Science,Making Government Work in Hard Places,Princeton University,Jennifer Widner,1,"
        ",1779,princetonx,Free Online Course (Audit),2017-12-15,Self Paced,English,,8 weeks long
Social Sciences,Sustainability,Sustainability Through Digital Transformation,openSAP,"Will Ritzrau, Barbara Fluegge and Daniel Schmid",0,"
        ",27,"sustainability,sdg",Free Online Course,2017-11-14,Self Paced,English,,3 weeks long
Social Sciences,Biology,"Sex, Science and Society",University of Newcastle,"John Aitken ,  Jessie Sutherland ,  Alan Hayes ,  Kirsty Pringle ,  Ann Taylor ,  Catherine Chojenta ,  Jacqueline Coombe ,  Marguerite Johnson ,  James Bennett  and  Daniela Heil",0,"
        ",180,newcastlex,Free Online Course (Audit),2017-11-08,Self Paced,English,,5 weeks long
Social Sciences,Economics,Digital Dividends: Strengthening the Analog Foundation of the Digital Revolution,The World Bank,Dr. Tim Kelly  and  Samia Melhem,0,"
        ",28,wbgx,Free Online Course (Audit),2017-11-07,Self Paced,English,,6 weeks long
Social Sciences,Political Science,Understanding Political Concepts,University of Naples Federico II,Mauro Calise and Werner Patzelt,0,"
        ",45,"political science,federicax",Free Online Course (Audit),2018-07-10,Self Paced,English,"
              $59 Certificate Available
            ",5 weeks long
